,baxter_enpoint_pose.pose.position.x,baxter_enpoint_pose.pose.position.y,baxter_enpoint_pose.pose.position.z,baxter_enpoint_pose.pose.orientation.x,baxter_enpoint_pose.pose.orientation.y,baxter_enpoint_pose.pose.orientation.z,baxter_enpoint_pose.pose.orientation.w
1528856351.97,0.6370527561390261,-0.15933812784612209,0.10601285460557769,0.9458038153959156,0.318317847271182,0.03920869486162976,-0.05090373067865142
1528856352.02,0.6370838655904583,-0.1593102252485798,0.10600171144503197,0.9457984972875297,0.3183368072707131,0.039232977802448006,-0.05086552643335777
1528856352.07,0.6372605591430399,-0.1594443525489317,0.1060906513904535,0.9458009876228878,0.31832638697540544,0.0393796120390912,-0.050772607094317315
1528856352.12,0.637267556963508,-0.1596613396700937,0.10602775600349539,0.9458572812114023,0.3181595771996823,0.03931004195161918,-0.05082402374803256
1528856352.17,0.6373842108771409,-0.15960436768964448,0.10606230952822643,0.9458965493145686,0.3180354865697969,0.03938867904638117,-0.0508082246196371
1528856352.22,0.6374373122277721,-0.1594434163645554,0.10607540264243495,0.9458497185036576,0.3181470770552658,0.039502112661124585,-0.050892591243014686
1528856352.27,0.6375809857161151,-0.1594383720993297,0.10616125222322885,0.9458522270943498,0.31812853945128977,0.03963762611135796,-0.05085664202878577
1528856352.32,0.6377001887659388,-0.1595796356119107,0.10614600778518882,0.9459377709704061,0.3178639533506241,0.03970617303283528,-0.0508667532513919
1528856352.37,0.6376540504457971,-0.15950794716814184,0.10613335715171995,0.9459236599383465,0.31791488440850746,0.03967452342229994,-0.050835162845134126
1528856352.42,0.6376129085858968,-0.15960192525967754,0.10615930925910341,0.9458903561244486,0.3180218239241901,0.03965750080759851,-0.050799374687267695
1528856352.47,0.6375173315689716,-0.15977240263100326,0.10614394130845548,0.9459414228714376,0.31789750906976044,0.039543018889985376,-0.05071654863196747
